origin,destination,type,price,duration,main_attraction
Kashmir,Chandigarh,flight,5635,152,Rock Garden,Sukhna Lake
Kolkata,Udaipur,flight,8099,112,City Palace,Lake Pichola
Goa,Kashmir,flight,5305,176,Pahalgam ,Dal Lake
Agra,Indore,flight,9281,236,Rajwada Palace,Lal Bagh Palace
Patna,Dehradun,flight,8190,72,Robber's Cave,Forest Research Institute
Chandigarh,Lucknow,car,5466,322,Bara Imambara,Chota Imambara
Nagpur,Hyderabad,flight,8840,76,Charminar,Golkonda Fort
Hyderabad,Chennai,bus,647,593,Marina Beach,Kapaleeshwarar Temple
Udaipur,Bangalore,bus,686,787,Bangalore Palace,Lalbagh Botanical Garden
Amritsar,Shimla,car,4378,204,Mall Road,Jakhoo Temple
Bangalore,Chennai,bus,1305,636,Marina Beach,Kapaleeshwarar Temple
Kashmir,Mysore,flight,4863,226,Mysore Palace,Brindavan Gardens
Chandigarh,Goa,flight,4948,163,Baga Beach,Fort Aguada
Lucknow,Mumbai,bus,687,362,Gateway of India,Marine Drive
Mysore,Delhi,bus,811,894,Red Fort,Qutub Minar
Udaipur,Bangalore,bus,1192,359,Bangalore Palace,Lalbagh Botanical Garden
Varanasi,Mysore,flight,3173,63,Mysore Palace,Brindavan Gardens
Lucknow,Delhi,flight,5780,201,Red Fort,Qutub Minar
Mysore,Delhi,flight,3347,237,Red Fort,Qutub Minar
Varanasi,Jaipur,car,4562,345,Amber Fort,City Palace
Udaipur,Chennai,flight,9486,103,Marina Beach,Kapaleeshwarar Temple
Mysore,Jaipur,bus,733,780,Amber Fort,City Palace
Amritsar,Kashmir,flight,3173,157,Pahalgam ,Dal Lake
Amritsar,Bhopal,flight,6655,150,Upper Lake,Bhimbetka Rock Shelters
Mysore,Mumbai,flight,5547,200,Gateway of India,Marine Drive
Shimla,Delhi,flight,8012,60,Red Fort,Qutub Minar
Mumbai,Kashmir,bus,1427,436,Pahalgam ,Dal Lake
Hyderabad,Kolkata,flight,5664,160,Victoria Memorial,Howrah Bridge
Bangalore,Dehradun,flight,8405,139,Robber's Cave,Forest Research Institute
Chandigarh,Kolkata,train,3224,540,Victoria Memorial,Howrah Bridge
Patna,Kolkata,flight,7334,161,Victoria Memorial,Howrah Bridge
Bangalore,Hyderabad,flight,3683,214,Charminar,Golkonda Fort
Hyderabad,Ahmedabad,flight,8653,121,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Chennai,flight,3457,86,Marina Beach,Kapaleeshwarar Temple
Udaipur,Indore,flight,4558,115,Rajwada Palace,Lal Bagh Palace
Ahmedabad,Hyderabad,bus,942,811,Charminar,Golkonda Fort
Surat,Agra,bus,977,647,Taj Mahal,Agra Fort
Mumbai,Lucknow,flight,4752,201,Bara Imambara,Chota Imambara
Amritsar,Indore,flight,5873,81,Rajwada Palace,Lal Bagh Palace
Mumbai,Agra,bus,1671,487,Taj Mahal,Agra Fort
Kolkata,Patna,flight,6609,84,Golghar,Nalanda University
Kashmir,Indore,flight,6563,109,Rajwada Palace,Lal Bagh Palace
Mumbai,Lucknow,flight,6215,201,Bara Imambara,Chota Imambara
Dehradun,Patna,bus,1918,341,Golghar,Nalanda University
Bangalore,Chandigarh,flight,8446,193,Rock Garden,Sukhna Lake
Amritsar,Hyderabad,bus,982,538,Charminar,Golkonda Fort
Varanasi,Delhi,bus,1328,804,Red Fort,Qutub Minar
Indore,Kashmir,bus,721,400,Pahalgam ,Dal Lake
Agra,Mumbai,bus,804,385,Gateway of India,Marine Drive
Indore,Amritsar,flight,9796,168,Golden Temple,Jallianwala Bagh
Patna,Kolkata,bus,1231,740,Victoria Memorial,Howrah Bridge
Bangalore,Ahmedabad,flight,7679,118,Sabarmati Ashram,Adalaj Stepwell
Hyderabad,Udaipur,flight,5617,170,City Palace,Lake Pichola
Hyderabad,Varanasi,flight,9419,223,Kashi Vishwanath Temple,Dashashwamedh Ghat
Ahmedabad,Lucknow,train,1821,688,Bara Imambara,Chota Imambara
Pune,Chandigarh,train,3850,864,Rock Garden,Sukhna Lake
Jaipur,Ahmedabad,car,2691,453,Sabarmati Ashram,Adalaj Stepwell
Pune,Surat,bus,1455,338,Dumas Beach,Sarthana Nature Park
Udaipur,Mumbai,flight,6557,83,Gateway of India,Marine Drive
Delhi,Amritsar,flight,4489,224,Golden Temple,Jallianwala Bagh
Agra,Jaipur,train,3103,567,Amber Fort,City Palace
Chennai,Indore,flight,7039,151,Rajwada Palace,Lal Bagh Palace
Mysore,Hyderabad,flight,4163,74,Charminar,Golkonda Fort
Amritsar,Varanasi,train,1674,482,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bangalore,Goa,flight,6116,195,Baga Beach,Fort Aguada
Amritsar,Indore,bus,1272,878,Rajwada Palace,Lal Bagh Palace
Hyderabad,Surat,bus,1720,452,Dumas Beach,Sarthana Nature Park
Nagpur,Surat,bus,1691,572,Dumas Beach,Sarthana Nature Park
Mysore,Kashmir,flight,5737,109,Pahalgam ,Dal Lake
Bhopal,Nagpur,bus,1121,829,Deekshabhoomi,Ambazari Lake
Mumbai,Delhi,flight,3068,106,Red Fort,Qutub Minar
Udaipur,Delhi,flight,6534,208,Red Fort,Qutub Minar
Agra,Udaipur,flight,5611,166,City Palace,Lake Pichola
Dehradun,Surat,flight,4439,187,Dumas Beach,Sarthana Nature Park
Patna,Chandigarh,flight,4185,181,Rock Garden,Sukhna Lake
Dehradun,Chandigarh,car,3058,198,Rock Garden,Sukhna Lake
Mysore,Kashmir,flight,8565,224,Pahalgam ,Dal Lake
Patna,Chennai,flight,8297,138,Marina Beach,Kapaleeshwarar Temple
Pune,Bhopal,flight,4871,78,Upper Lake,Bhimbetka Rock Shelters
Jaipur,Delhi,flight,4437,163,Red Fort,Qutub Minar
Agra,Chandigarh,train,1565,728,Rock Garden,Sukhna Lake
Lucknow,Indore,flight,3048,211,Rajwada Palace,Lal Bagh Palace
Chennai,Agra,flight,8724,235,Taj Mahal,Agra Fort
Kashmir,Varanasi,flight,4183,111,Kashi Vishwanath Temple,Dashashwamedh Ghat
Varanasi,Patna,flight,3109,182,Golghar,Nalanda University
Mumbai,Pune,bus,1653,599,Shaniwar Wada,Aga Khan Palace
Kashmir,Chennai,flight,4693,89,Marina Beach,Kapaleeshwarar Temple
Hyderabad,Agra,flight,5972,130,Taj Mahal,Agra Fort
Surat,Shimla,flight,6757,147,Mall Road,Jakhoo Temple
Amritsar,Varanasi,car,5115,458,Kashi Vishwanath Temple,Dashashwamedh Ghat
Patna,Ahmedabad,bus,752,336,Sabarmati Ashram,Adalaj Stepwell
Goa,Patna,bus,575,719,Golghar,Nalanda University
Kashmir,Indore,flight,6484,84,Rajwada Palace,Lal Bagh Palace
Delhi,Jaipur,flight,6859,225,Amber Fort,City Palace
Hyderabad,Chandigarh,flight,6191,211,Rock Garden,Sukhna Lake
Goa,Indore,flight,4609,143,Rajwada Palace,Lal Bagh Palace
Kashmir,Bangalore,flight,4002,146,Bangalore Palace,Lalbagh Botanical Garden
Udaipur,Patna,flight,6742,127,Golghar,Nalanda University
Kashmir,Shimla,flight,8547,149,Mall Road,Jakhoo Temple
Mysore,Pune,flight,4835,179,Shaniwar Wada,Aga Khan Palace
Shimla,Surat,flight,8445,221,Dumas Beach,Sarthana Nature Park
Agra,Chennai,bus,776,332,Marina Beach,Kapaleeshwarar Temple
Nagpur,Udaipur,bus,839,882,City Palace,Lake Pichola
Pune,Chandigarh,train,2218,339,Rock Garden,Sukhna Lake
Bhopal,Chennai,flight,9919,228,Marina Beach,Kapaleeshwarar Temple
Jaipur,Mumbai,flight,8194,109,Gateway of India,Marine Drive
Bangalore,Shimla,flight,8881,223,Mall Road,Jakhoo Temple
Pune,Bhopal,flight,4374,174,Upper Lake,Bhimbetka Rock Shelters
Kashmir,Agra,flight,8368,235,Taj Mahal,Agra Fort
Agra,Bangalore,bus,1124,776,Bangalore Palace,Lalbagh Botanical Garden
Surat,Bangalore,flight,5844,199,Bangalore Palace,Lalbagh Botanical Garden
Bangalore,Hyderabad,bus,1691,756,Charminar,Golkonda Fort
Surat,Indore,flight,4335,206,Rajwada Palace,Lal Bagh Palace
Dehradun,Chandigarh,train,2012,709,Rock Garden,Sukhna Lake
Kashmir,Goa,bus,1671,389,Baga Beach,Fort Aguada
Amritsar,Chandigarh,train,1617,865,Rock Garden,Sukhna Lake
Surat,Bhopal,flight,7435,111,Upper Lake,Bhimbetka Rock Shelters
Chennai,Bhopal,bus,1562,866,Upper Lake,Bhimbetka Rock Shelters
Lucknow,Jaipur,train,2319,601,Amber Fort,City Palace
Delhi,Shimla,flight,8272,230,Mall Road,Jakhoo Temple
Kolkata,Lucknow,train,1052,581,Bara Imambara,Chota Imambara
Kolkata,Mysore,flight,7825,137,Mysore Palace,Brindavan Gardens
Pune,Goa,flight,8107,202,Baga Beach,Fort Aguada
Mumbai,Surat,bus,1069,702,Dumas Beach,Sarthana Nature Park
Delhi,Jaipur,bus,751,696,Amber Fort,City Palace
Varanasi,Udaipur,flight,9303,164,City Palace,Lake Pichola
Bhopal,Dehradun,flight,5702,146,Robber's Cave,Forest Research Institute
Amritsar,Lucknow,car,5312,379,Bara Imambara,Chota Imambara
Chandigarh,Ahmedabad,car,4475,475,Sabarmati Ashram,Adalaj Stepwell
Bangalore,Kolkata,bus,1645,382,Victoria Memorial,Howrah Bridge
Mumbai,Indore,flight,4712,93,Rajwada Palace,Lal Bagh Palace
Chennai,Mysore,flight,8891,87,Mysore Palace,Brindavan Gardens
Ahmedabad,Chennai,flight,3657,141,Marina Beach,Kapaleeshwarar Temple
Mysore,Nagpur,bus,1015,669,Deekshabhoomi,Ambazari Lake
Ahmedabad,Chandigarh,car,1106,247,Rock Garden,Sukhna Lake
Kashmir,Jaipur,flight,5982,106,Amber Fort,City Palace
Hyderabad,Chennai,flight,7193,77,Marina Beach,Kapaleeshwarar Temple
Chennai,Delhi,bus,1937,585,Red Fort,Qutub Minar
Kolkata,Kashmir,flight,9864,214,Pahalgam ,Dal Lake
Patna,Delhi,bus,1430,680,Red Fort,Qutub Minar
Goa,Chennai,flight,9159,183,Marina Beach,Kapaleeshwarar Temple
Jaipur,Hyderabad,flight,3039,190,Charminar,Golkonda Fort
Varanasi,Chandigarh,train,1896,502,Rock Garden,Sukhna Lake
Mysore,Delhi,flight,8629,187,Red Fort,Qutub Minar
