origin,destination,type,price,duration
Delhi,Hyderabad,bus,600,586
Jaipur,Chennai,flight,8460,234
Mumbai,Kolkata,bus,1639,404
Bangalore,Pune,flight,8253,216
Pune,Hyderabad,flight,7812,205
Dehradun,Pune,train,1743,740
Pune,Dehradun,car,3943,338
Delhi,Jaipur,flight,3392,192
Mumbai,Pune,flight,8265,75
Hyderabad,Pune,flight,7139,107
Delhi,Hyderabad,flight,6218,208
Mumbai,Jaipur,flight,4536,217
Chennai,Lucknow,flight,9710,112
Chennai,Pune,flight,9540,137
Mumbai,Jaipur,bus,1843,735
Dehradun,Pune,car,5653,238
Delhi,Dehradun,flight,8475,222
Lucknow,Chennai,bus,997,673
Bangalore,Dehradun,bus,853,870
Bangalore,Jaipur,bus,1799,307
Pune,Hyderabad,flight,8965,203
Lucknow,Kolkata,train,3864,657
Pune,Lucknow,train,3700,337
Pune,Chennai,flight,8365,228
Delhi,Bangalore,flight,7937,133
Chennai,Pune,flight,8387,232
Mumbai,Hyderabad,bus,1389,351
Jaipur,Kolkata,car,5276,360
Dehradun,Hyderabad,bus,1729,431
Kolkata,Mumbai,flight,4995,177
Kolkata,Pune,train,3084,303
Kolkata,Bangalore,bus,955,347
Bangalore,Hyderabad,bus,1124,752
Delhi,Lucknow,flight,3141,110
Chennai,Bangalore,flight,4886,69
Bangalore,Delhi,flight,9378,216
Chennai,Hyderabad,flight,4842,176
Bangalore,Dehradun,flight,8851,173
