origin,destination,type,price,duration
Chennai (MAA),Hyderabad (HYD),car,5895,1244
Bangalore (BLR),Lucknow (LUC),train,1939,1010
Dehradun (DDN),Chennai (MAA),train,1372,344
Mumbai (BOM),Pune (PNQ),train,2523,1391
Bangalore (BLR),Mumbai (BOM),train,742,1277
Hyderabad (HYD),Pune (PNQ),flight,6751,66
Chennai (MAA),Pune (PNQ),bus,1090,1260
Delhi (DEL),Hyderabad (HYD),bus,1141,800
Chennai (MAA),Kolkata (CCU),train,1992,1389
Hyderabad (HYD),Delhi (DEL),flight,9482,95
Mumbai (BOM),Delhi (DEL),train,529,443
Chennai (MAA),Dehradun (DDN),train,1296,823
Pune (PNQ),Delhi (DEL),bus,598,1396
Lucknow (LUC),Delhi (DEL),train,2995,766
Bangalore (BLR),Jaipur (JAI),flight,6741,176
Bangalore (BLR),Kolkata (CCU),car,8729,1387
Hyderabad (HYD),Dehradun (DDN),car,9638,1457
Dehradun (DDN),Delhi (DEL),car,5555,1061
Delhi (DEL),Chennai (MAA),flight,6030,158
Pune (PNQ),Kolkata (CCU),bus,1022,1178
Bangalore (BLR),Delhi (DEL),bus,1166,593
Bangalore (BLR),Jaipur (JAI),bus,269,1290
Lucknow (LUC),Mumbai (BOM),bus,643,458
Bangalore (BLR),Pune (PNQ),car,9164,1567
Lucknow (LUC),Jaipur (JAI),train,1798,1207
Kolkata (CCU),Bangalore (BLR),car,7049,479
Jaipur (JAI),Hyderabad (HYD),train,2018,1206
Mumbai (BOM),Hyderabad (HYD),bus,1351,1024
Mumbai (BOM),Chennai (MAA),bus,859,1790
Delhi (DEL),Jaipur (JAI),flight,9937,96
Chennai (MAA),Pune (PNQ),flight,7968,83
Kolkata (CCU),Delhi (DEL),bus,908,953
Chennai (MAA),Hyderabad (HYD),car,7581,433
Bangalore (BLR),Pune (PNQ),flight,9776,139
Bangalore (BLR),Kolkata (CCU),train,1762,692
Pune (PNQ),Bangalore (BLR),train,744,946
Kolkata (CCU),Bangalore (BLR),car,8685,503
Kolkata (CCU),Mumbai (BOM),train,1804,1439
Jaipur (JAI),Chennai (MAA),car,8881,1374
Pune (PNQ),Delhi (DEL),bus,622,1314
Hyderabad (HYD),Pune (PNQ),bus,1440,1374
Lucknow (LUC),Bangalore (BLR),bus,399,764
Dehradun (DDN),Kolkata (CCU),train,2042,462
Dehradun (DDN),Delhi (DEL),flight,6849,153
Pune (PNQ),Delhi (DEL),flight,7379,176
Mumbai (BOM),Hyderabad (HYD),flight,9235,92
Hyderabad (HYD),Mumbai (BOM),flight,9334,161
Pune (PNQ),Lucknow (LUC),car,9435,429
Lucknow (LUC),Pune (PNQ),car,9381,724
Chennai (MAA),Jaipur (JAI),flight,9106,93
Bangalore (BLR),Hyderabad (HYD),flight,8869,151
Jaipur (JAI),Mumbai (BOM),flight,8298,72
Lucknow (LUC),Hyderabad (HYD),flight,6938,116
Delhi (DEL),Mumbai (BOM),flight,6717,80
Dehradun (DDN),Lucknow (LUC),car,8240,1024
Mumbai (BOM),Chennai (MAA),train,632,404
Delhi (DEL),Mumbai (BOM),bus,486,1640
Jaipur (JAI),Lucknow (LUC),car,8639,1289
Jaipur (JAI),Lucknow (LUC),train,1260,854
Delhi (DEL),Mumbai (BOM),train,1983,593
Kolkata (CCU),Dehradun (DDN),train,1456,1236
Lucknow (LUC),Mumbai (BOM),car,5363,1489
Jaipur (JAI),Pune (PNQ),car,5304,317
Kolkata (CCU),Pune (PNQ),bus,596,1001
Hyderabad (HYD),Delhi (DEL),train,1581,710
Chennai (MAA),Bangalore (BLR),car,5655,413
Bangalore (BLR),Hyderabad (HYD),train,2763,701
Bangalore (BLR),Chennai (MAA),flight,6349,167
Bangalore (BLR),Kolkata (CCU),train,2073,1153
Chennai (MAA),Delhi (DEL),train,1921,1439
Mumbai (BOM),Delhi (DEL),train,1267,831
Delhi (DEL),Chennai (MAA),flight,9311,101
Lucknow (LUC),Chennai (MAA),flight,6905,88
Bangalore (BLR),Delhi (DEL),bus,1405,1095
Lucknow (LUC),Jaipur (JAI),car,5125,1017
Mumbai (BOM),Delhi (DEL),flight,9830,99
Mumbai (BOM),Kolkata (CCU),bus,297,1641
Bangalore (BLR),Hyderabad (HYD),flight,6376,119
Lucknow (LUC),Jaipur (JAI),flight,6783,71
Kolkata (CCU),Delhi (DEL),car,6381,1253
Hyderabad (HYD),Dehradun (DDN),bus,1113,1265
Delhi (DEL),Jaipur (JAI),car,7958,486
Pune (PNQ),Lucknow (LUC),car,5274,1145
Lucknow (LUC),Delhi (DEL),bus,412,815
Chennai (MAA),Delhi (DEL),bus,241,794
Bangalore (BLR),Delhi (DEL),train,1231,633
Jaipur (JAI),Hyderabad (HYD),bus,238,785
Chennai (MAA),Pune (PNQ),train,1408,1344
Mumbai (BOM),Lucknow (LUC),train,2541,1126
Lucknow (LUC),Pune (PNQ),bus,266,692
Hyderabad (HYD),Kolkata (CCU),car,8772,1236
Chennai (MAA),Delhi (DEL),car,9744,974
Delhi (DEL),Mumbai (BOM),train,1970,490
Kolkata (CCU),Chennai (MAA),train,2571,1173
Pune (PNQ),Mumbai (BOM),flight,8715,177
Hyderabad (HYD),Pune (PNQ),car,9355,983
Jaipur (JAI),Kolkata (CCU),train,2559,506
Chennai (MAA),Dehradun (DDN),train,1377,1273
Kolkata (CCU),Lucknow (LUC),car,6471,518
Pune (PNQ),Kolkata (CCU),bus,1173,466
