origin,destination,type,price,duration,main_attraction
Jaipur,Pune,train,3230,642,Shaniwar Wada,Aga Khan Palace
Mumbai,Bhopal,flight,6748,185,Upper Lake,Bhimbetka Rock Shelters
Surat,Kolkata,flight,5875,67,Victoria Memorial,Howrah Bridge
Lucknow,Bhopal,flight,6972,154,Upper Lake,Bhimbetka Rock Shelters
Ahmedabad,Chandigarh,train,2504,704,Rock Garden,Sukhna Lake
Chennai,Nagpur,flight,3632,78,Deekshabhoomi,Ambazari Lake
Shimla,Pune,car,3431,281,Shaniwar Wada,Aga Khan Palace
Goa,Lucknow,bus,1582,386,Bara Imambara,Chota Imambara
Dehradun,Ahmedabad,car,2115,461,Sabarmati Ashram,Adalaj Stepwell
Chandigarh,Amritsar,car,4625,437,Golden Temple,Jallianwala Bagh
Kashmir,Amritsar,flight,8165,89,Golden Temple,Jallianwala Bagh
Chennai,Pune,flight,8171,238,Shaniwar Wada,Aga Khan Palace
Mumbai,Jaipur,bus,583,887,Amber Fort,City Palace
Udaipur,Lucknow,flight,4692,127,Bara Imambara,Chota Imambara
Amritsar,Varanasi,car,5918,435,Kashi Vishwanath Temple,Dashashwamedh Ghat
Amritsar,Indore,flight,8313,162,Rajwada Palace,Lal Bagh Palace
Jaipur,Lucknow,car,3403,328,Bara Imambara,Chota Imambara
Agra,Shimla,train,3696,482,Mall Road,Jakhoo Temple
Patna,Kashmir,flight,9738,183,Pahalgam ,Dal Lake
Jaipur,Mysore,bus,927,762,Mysore Palace,Brindavan Gardens
Indore,Varanasi,flight,7630,116,Kashi Vishwanath Temple,Dashashwamedh Ghat
Hyderabad,Nagpur,flight,3091,182,Deekshabhoomi,Ambazari Lake
Nagpur,Ahmedabad,bus,544,316,Sabarmati Ashram,Adalaj Stepwell
Kolkata,Indore,bus,760,726,Rajwada Palace,Lal Bagh Palace
Chandigarh,Pune,car,1634,280,Shaniwar Wada,Aga Khan Palace
Kolkata,Surat,flight,5529,136,Dumas Beach,Sarthana Nature Park
Hyderabad,Agra,bus,1097,375,Taj Mahal,Agra Fort
Indore,Goa,flight,5088,213,Baga Beach,Fort Aguada
Mumbai,Hyderabad,bus,574,832,Charminar,Golkonda Fort
Varanasi,Chandigarh,car,5188,274,Rock Garden,Sukhna Lake
Mysore,Amritsar,bus,821,893,Golden Temple,Jallianwala Bagh
Surat,Mumbai,flight,4807,225,Gateway of India,Marine Drive
Jaipur,Nagpur,flight,8417,234,Deekshabhoomi,Ambazari Lake
Jaipur,Mumbai,flight,6113,88,Gateway of India,Marine Drive
Surat,Ahmedabad,flight,6099,165,Sabarmati Ashram,Adalaj Stepwell
Agra,Surat,bus,1147,425,Dumas Beach,Sarthana Nature Park
Chennai,Amritsar,bus,1504,730,Golden Temple,Jallianwala Bagh
Agra,Dehradun,car,2498,382,Robber's Cave,Forest Research Institute
Lucknow,Mysore,flight,9902,180,Mysore Palace,Brindavan Gardens
Ahmedabad,Bangalore,flight,7219,108,Bangalore Palace,Lalbagh Botanical Garden
Surat,Delhi,flight,4399,185,Red Fort,Qutub Minar
Jaipur,Bangalore,flight,3219,217,Bangalore Palace,Lalbagh Botanical Garden
Kashmir,Surat,flight,9616,81,Dumas Beach,Sarthana Nature Park
Bangalore,Lucknow,bus,1644,594,Bara Imambara,Chota Imambara
Mysore,Amritsar,flight,9938,224,Golden Temple,Jallianwala Bagh
Kolkata,Delhi,bus,1361,389,Red Fort,Qutub Minar
Shimla,Nagpur,flight,3541,70,Deekshabhoomi,Ambazari Lake
Udaipur,Lucknow,flight,4753,68,Bara Imambara,Chota Imambara
Nagpur,Goa,flight,8153,227,Baga Beach,Fort Aguada
Goa,Bangalore,flight,3931,73,Bangalore Palace,Lalbagh Botanical Garden
Goa,Pune,flight,8324,227,Shaniwar Wada,Aga Khan Palace
Agra,Delhi,flight,8288,77,Red Fort,Qutub Minar
Patna,Bangalore,bus,1208,828,Bangalore Palace,Lalbagh Botanical Garden
Lucknow,Udaipur,flight,4450,122,City Palace,Lake Pichola
Shimla,Goa,bus,1239,502,Baga Beach,Fort Aguada
Pune,Bangalore,flight,3573,140,Bangalore Palace,Lalbagh Botanical Garden
Mysore,Hyderabad,flight,3375,112,Charminar,Golkonda Fort
Ahmedabad,Nagpur,flight,6161,205,Deekshabhoomi,Ambazari Lake
Varanasi,Mumbai,flight,4987,228,Gateway of India,Marine Drive
Pune,Hyderabad,flight,9583,211,Charminar,Golkonda Fort
Dehradun,Kolkata,car,2200,442,Victoria Memorial,Howrah Bridge
Mumbai,Udaipur,bus,622,625,City Palace,Lake Pichola
Patna,Indore,flight,7059,96,Rajwada Palace,Lal Bagh Palace
Hyderabad,Delhi,flight,5530,226,Red Fort,Qutub Minar
Indore,Agra,bus,1848,627,Taj Mahal,Agra Fort
Bangalore,Varanasi,flight,6772,188,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bhopal,Hyderabad,flight,8793,147,Charminar,Golkonda Fort
Patna,Udaipur,flight,9610,158,City Palace,Lake Pichola
Surat,Jaipur,flight,5769,101,Amber Fort,City Palace
Surat,Lucknow,bus,1243,650,Bara Imambara,Chota Imambara
Lucknow,Kolkata,train,1291,500,Victoria Memorial,Howrah Bridge
Chandigarh,Lucknow,car,1482,349,Bara Imambara,Chota Imambara
Delhi,Kashmir,bus,1833,670,Pahalgam ,Dal Lake
